N,Iteration,Molecule,LowestRMSD
1,0,mol89,1.009303207663584
1,0,mol90,6.58778134479012
1,0,mol91,0.7650106271849316
1,0,mol92,3.891770031794064
1,0,mol93,0.6230877371004825
1,0,mol94,1.60148878608139
1,0,mol95,1.981554009111445
1,0,mol96,4.243022766099231
1,1,mol0,1.757405576341471
1,1,mol1,4.953765445766147
1,1,mol2,5.988720137538369
1,1,mol3,2.5400568196681856
1,1,mol4,2.996740239863541
1,1,mol5,4.868744697723727
1,1,mol6,4.4402947345556045
1,1,mol7,0.9927942732245022
1,1,mol8,1.8324610781391069
1,1,mol9,6.332480170810983
1,1,mol10,0.7160701288796264
1,1,mol11,4.121977980247209
1,1,mol12,3.7072572822887997
1,1,mol13,6.310977306583387
1,1,mol14,0.9652059333550449
1,1,mol15,0.997988348866701
1,1,mol16,3.3034513079505197
1,1,mol17,1.7207249470582366
1,1,mol18,4.748461716177145
1,1,mol19,9.845188645416915
1,1,mol20,5.829322027984554
1,1,mol21,1.0505606601103186
1,1,mol22,5.39229678167538
1,1,mol23,1.3066917555621351
1,1,mol24,3.3264289255659896
1,1,mol25,2.4214440949049387
1,1,mol26,4.035161919326805
1,1,mol27,4.098898221717636
1,1,mol28,1.6033851219313373
1,1,mol29,2.2198140883693567
1,1,mol30,0.9377236995334325
1,1,mol31,6.384310781431497
1,1,mol32,1.6634787425278705
1,1,mol33,3.3635170719352687
1,1,mol34,0.8415508135069956
1,1,mol35,4.9216904380900575
1,1,mol36,2.654979720234628
1,1,mol37,5.015749730432464
1,1,mol38,2.936047979853191
1,1,mol39,5.164036923819525
1,1,mol40,2.1324860028346526
1,1,mol41,4.6726084056023
1,1,mol42,2.8253209337031167
1,1,mol43,1.7746095374131678
1,1,mol44,2.140598734480338
1,1,mol45,1.302579756154247
1,1,mol46,5.188500379026476
1,1,mol47,5.299805336676685
1,1,mol48,1.5353225102486419
1,1,mol49,3.4474649160372453
1,1,mol50,3.279104604017827
1,1,mol51,2.2304966349074222
1,1,mol52,6.511409947315558
1,1,mol53,1.5520381298766177
1,1,mol54,1.9705444425335854
1,1,mol55,0.8843051714066082
1,1,mol56,3.8823309376691904
1,1,mol57,5.576974061733657
1,1,mol58,3.9507794590073337
1,1,mol59,1.1856202058416516
1,1,mol60,3.857948571573899
1,1,mol61,3.146768981693181
1,1,mol62,7.349218005016802
1,1,mol63,5.217561059650043
1,1,mol64,0.9941040003999135
